osm_id,type,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
60890260,pub,D'Arcy McGee's,NA,pub,NA,Sparks Street,44,NA,NA,-75.6958229,45.4234025
192375715,convenience,Sunmax Supermarket,convenience,NA,NA,Meadowlands Drive East,1119,NA,NA,-75.7122114,45.3628448
293294911,restaurant,Chantal's Hot Fries,NA,restaurant,NA,NA,NA,NA,NA,-75.5930326,45.2696561
293565377,fast_food,JP's Fries,NA,fast_food,NA,NA,NA,NA,NA,-75.7274245,45.3353187
438892467,cafe,Tea Store,tea,cafe,NA,York Street,53,NA,NA,-75.6928924,45.4282671
440603952,pub,Patty's Pub,NA,pub,NA,Bank Street,1186,NA,NA,-75.6817177,45.3918983
447045908,restaurant,Cora,NA,restaurant,Cora,Rideau Street,179,NA,NA,-75.6893714,45.427413
457282818,fast_food,Claude Chip Wagon,NA,fast_food,NA,NA,NA,NA,NA,-75.6317923,45.4256069
510976473,supermarket,Farmer's Pick,supermarket,NA,NA,Prince Of Wales Drive,1430,NA,NA,-75.7032904,45.3687326
560750193,restaurant,The Cross Bar Restaurant,NA,restaurant,NA,Tenth Line Road,1585,NA,K1E 3E8,-75.492397,45.4720493
588145957,cafe,Ideal Coffee,NA,cafe,NA,Dalhousie Street,176,NA,NA,-75.6944959,45.4325556
588145962,bar,Dominion Tavern,NA,bar,NA,York Street,33,NA,K1N 5S7,-75.693853,45.4279894
588149748,convenience,Lauzon,convenience,NA,NA,Guigues Avenue,207,NA,K1N 5J3,-75.6911296,45.4326553
588151003,restaurant,The King Eddy,NA,restaurant,NA,Clarence Street,45,NA,K1N 5P4,-75.6940676,45.4288022
588151181,restaurant,Milestones,NA,restaurant,NA,Sussex Drive,700,NA,NA,-75.6941768,45.4256084
588178971,restaurant,Blue Cactus,NA,restaurant,NA,By Ward Market Square,2,NA,K1N 9B8,-75.6938017,45.4286044
