osm_id,name,ons_type,type,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
60890260,D'Arcy McGee's,restaurant,pub,NA,pub,NA,Sparks Street,44,NA,NA,-75.6958229,45.4234025
192375715,Sunmax Supermarket,convenience,convenience,convenience,NA,NA,Meadowlands Drive East,1119,NA,NA,-75.7122114,45.3628448
286257811,Marché Bonichoix,grocery,supermarket,supermarket,NA,NA,NA,NA,NA,NA,-75.275411,45.2742092
293294911,Chantal's Hot Fries,restaurant,restaurant,NA,restaurant,NA,NA,NA,NA,NA,-75.5930326,45.2696561
293565377,JP's Fries,fast_food,fast_food,NA,fast_food,NA,NA,NA,NA,NA,-75.7274245,45.3353187
298936063,MacEwen,convenience,convenience,convenience,fuel,MacEwen,Wilson Street West,11,Perth,K7H 2M8,-76.2531442,44.9012046
322132928,The Red Fox Restaraunt and Tavern,restaurant,restaurant,NA,restaurant,NA,NA,NA,NA,NA,-76.2522307,44.9003995
438892467,Tea Store,fast_food,cafe,tea,cafe,NA,York Street,53,NA,NA,-75.6928924,45.4282671
440603952,Patty's Pub,restaurant,pub,NA,pub,NA,Bank Street,1186,NA,NA,-75.6817177,45.3918983
443149505,Jersey Joe's,restaurant,restaurant,NA,restaurant,NA,NA,NA,NA,NA,-76.2546359,44.9024783
443151704,Peter's Restaurant,restaurant,restaurant,NA,restaurant,NA,NA,NA,NA,NA,-76.2485318,44.8989202
443152542,Fiddleheads Bar & Grill,restaurant,restaurant,NA,restaurant,NA,NA,NA,NA,NA,-76.2512987,44.899623
443152543,Coutts Coffee Roastery & Cafe,fast_food,cafe,NA,cafe,NA,NA,NA,NA,NA,-76.2492273,44.8999295
447045908,Cora,restaurant,restaurant,NA,restaurant,Cora,Rideau Street,179,NA,NA,-75.6893714,45.427413
457282818,Claude Chip Wagon,fast_food,fast_food,NA,fast_food,NA,NA,NA,NA,NA,-75.6317923,45.4256069
472451128,La Vallée,restaurant,restaurant,NA,restaurant,NA,Route 105,1418,Chelsea,J9B 1P4,-75.8709782,45.5743262
472492270,Quickie,convenience,convenience,convenience,NA,NA,Rideau Street,712,NA,NA,-75.6532193,45.0208873
