ONS_ID,food_specialtynum_region_plus_buffer,food_specialtynum_per_1000_res_plus_buffer,food_specialtydist_closest_3_popwt,food_specialtypct_within_15_mins
3110,3,0.639,15.015,0.445
3076,0,0,27.849,0
3075,0,0,40.275,0
3048,8,0.638,22.753,0.822
3091,5,0.167,19.823,0.197
3039,0,0,18.909,0.002
3041,6,1.034,9.675,0.735
3040,1,0.123,6.915,0.927
3065,4,0.285,6.954,1
3053,0,0,9.187,0.558
3030,1,50,NA,NA
3071,0,0,44.498,0
3022,1,0.094,6.88,0.637
3035,0,0,12.095,0.147
3089,1,0.16,8.715,0.87
3060,7,0.351,23.977,0.363
3012,1,0.117,9.901,0.47
3113,0,0,31.048,0.055
3010,1,0.121,12.326,0.838
3094,0,0,18.324,0.297
3047,9,0.663,2.764,1
3058,4,0.679,12.185,1
3024,15,0.47,2.081,1
3064,0,0,NA,NA
3072,0,0,13.307,0
3059,9,1.639,5.367,1
3092,0,0,13.389,0.768
3025,3,0.255,14.806,0.735
3066,0,0,14.037,0.104
3019,0,0,NA,NA
3016,3,0.193,23.922,0.366
3032,1,0.068,15.763,0.378
3097,0,0,17.245,0.5
3107,2,0.19,24.234,0.221
3099,0,0,8.069,0.188
3011,1,0.11,10.485,0.302
3042,1,100,NA,NA
3111,4,0.381,3.934,1
3043,1,0.056,19.146,0.384
3093,0,0,11.205,0.945
3055,14,1.277,4.303,1
3038,0,0,34.311,0
3074,2,0.232,30.6,0.331
3027,3,0.248,19.204,0.788
3087,10,0.473,4.965,0.979
3088,2,0.339,8.96,1
3114,0,0,6.838,0
3061,7,0.612,22.003,0.524
3112,2,0.273,4.027,1
3002,5,0.644,5.071,0.721
3115,9,1.022,3.064,1
3077,2,0.356,3.624,0.893
3031,1,0.437,45.275,0.375
3068,21,3.535,1.775,1
3062,1,0.376,47.161,0.005
3109,0,0,22.308,0.04
3063,11,0.963,8.047,0.994
3098,0,0,7.063,0.017
3052,0,0,9.481,0.581
3004,1,0.129,8.761,0.644
3103,3,0.273,9.76,0.729
3020,2,0.124,7.258,0.786
3054,1,0.147,7.515,0.831
3078,0,0,34.147,0
3051,0,0,17.223,0
3105,3,1.079,8.256,1
3100,0,0,18,0
3023,0,0,12.853,0.271
3007,5,0.958,16.44,0.901
3021,3,0.468,32.991,0.259
3018,4,0.485,7.417,0.95
3049,0,0,23.037,0
3104,11,0.795,2.299,0.929
3028,9,1.354,10.521,0.949
3029,2,0.347,4.432,0.985
3081,0,0,9.916,0.09
3026,5,0.347,15.943,0.074
3083,5,0.772,3.641,1
3086,0,0,33.901,0
3005,1,0.15,21.512,0.74
3090,1,0.164,6.344,0.975
3003,10,0.697,12.505,1
3036,0,0,14.911,0.084
3044,0,0,15.22,0
3102,0,0,5.046,0.892
3057,4,80,NA,NA
3045,2,0.441,8.284,0.905
3073,0,0,30.676,0
3001,0,0,12.557,0
3008,1,0.231,17.613,0.384
3106,6,0.27,27.394,0.519
3084,2,40,NA,NA
3014,0,0,21.556,0.043
3095,8,0.779,17.53,0.84
3069,1,0.124,5.57,1
3033,0,0,39.34,0
3015,5,0.583,11.06,1
3046,0,0,48.681,0.006
3013,0,0,9.613,0.581
3117,3,0.262,9.73,0.932
3108,0,0,26.023,0.194
3050,0,0,13.367,0.271
3082,1,0.117,2.626,0.989
3116,9,0.733,6.562,0.98
3080,2,0.09,20.963,0.517
3070,4,0.383,25.14,0.21
3009,8,1.319,5.204,1
3079,6,0.249,18.39,0.498
3101,7,0.521,4.701,0.548
3034,1,0.114,13.929,0.236
3017,1,0.077,21.116,0.33
3037,1,0.217,25.303,0.089
3067,1,0.145,2.386,1
3006,1,0,NA,NA
3056,1,0.118,9.902,0.973
3085,1,0.088,16.083,0.805
