osm_id,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
192375715,Sunmax Supermarket,convenience,NA,NA,Meadowlands Drive East,1119,NA,NA,-75.7122114,45.3628448
298936063,MacEwen,convenience,fuel,MacEwen,Wilson Street West,11,Perth,K7H 2M8,-76.2531442,44.9012046
472492270,Quickie,convenience,NA,NA,Rideau Street,712,NA,NA,-75.6532193,45.0208873
588149748,Lauzon,convenience,NA,NA,Guigues Avenue,207,NA,K1N 5J3,-75.6911296,45.4326553
671832491,Au Pied de la Tour Dépanneur,convenience,NA,NA,NA,NA,NA,NA,-75.7084768,45.4402136
671834590,QuicKie,convenience,NA,NA,NA,NA,NA,NA,-75.7205925,45.4370751
777473826,Loughlins Country Store,convenience,NA,NA,NA,NA,NA,NA,-75.517275,45.0610373
790302894,Quickie,convenience,NA,NA,Watters Road,915,NA,NA,-75.4755687,45.4836517
808468438,Quickie,convenience,NA,NA,Albert Street,435,NA,NA,-75.7071759,45.4171571
1027049065,Marché Roger Brazeau,convenience,NA,NA,Rue du Progrès,130,NA,J8M 1T1,-75.4935945,45.5234446
1339121925,Circle K,convenience,NA,Circle K,NA,NA,NA,NA,-76.3689672,45.4238433
1520455078,Circle K,convenience,NA,Circle K,Kakulu Road,7,NA,NA,-75.881619,45.309438
1709278902,Circle K,convenience,NA,Circle K,Highgate Road,1400,NA,NA,-75.7698355,45.348898
1725225062,Circle K,convenience,NA,Circle K,Carling Avenue,1859,NA,NA,-75.7573812,45.37645
1729086579,Circle K,convenience,NA,Circle K,Merivale Road,1025,NA,NA,-75.7328776,45.3790051
1747530574,Shell,convenience,fuel,Shell,Boulevard Maloney Ouest,620,NA,J8T 8K7,-75.6749252,45.4824094
1869446441,Dépanneur Daniel,convenience,NA,NA,NA,NA,NA,NA,-75.6084323,45.4984223
2014628785,Cedars & Co Food Market,convenience,NA,NA,Kilborn Avenue,1793,NA,NA,-75.6451832,45.3880457
2038796584,Quickie,convenience,NA,NA,Lorry Greenberg Drive,4,NA,NA,-75.6208901,45.3691568
2088038885,Circle K,convenience,NA,Circle K,Walkley Road,1420,NA,NA,-75.6536009,45.3735609
2096396271,Quickie,convenience,NA,NA,Rideaucrest Drive,5,NA,NA,-75.7226712,45.2847685
2104707519,Glebe Smoke Shop,convenience,NA,NA,Bank Street,844,NA,NA,-75.6878674,45.401847
2180623930,Quickie,convenience,NA,NA,NA,NA,NA,NA,-75.7916776,45.3629989
