osm_id,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
286257811,Marché Bonichoix,supermarket,NA,NA,NA,NA,NA,NA,-75.275411,45.2742092
510976473,Farmer's Pick,supermarket,NA,NA,Prince Of Wales Drive,1430,NA,NA,-75.7032904,45.3687326
1339121915,Metro,supermarket,NA,Metro,NA,NA,NA,NA,-76.3684266,45.4249666
1461227931,Kowloon,supermarket,NA,NA,Somerset Street West,712,NA,NA,-75.7076334,45.4104822
2045639867,Mid-East Foods,supermarket,NA,NA,Belfast Road,1010,NA,K1G 4A2,-75.6302422,45.4100972
2078003979,Il Negozio Nicastro,greengrocer,NA,NA,Bank Street,792,NA,K1S 3V8,-75.6884283,45.402895
2213666893,Your Independent Grocer,supermarket,NA,Your Independent Grocer,Bank Street,296,NA,NA,-75.6964903,45.4150313
2607297211,Food Basics,supermarket,NA,Food Basics,NA,NA,NA,NA,-76.014631,44.88201
2608302415,Foodland,supermarket,NA,Foodland,County Road 31,12015,NA,NA,-75.3723471,45.0875471
2784116789,Fresh Mart,supermarket,NA,NA,Route 105,528,Chelsea,J9B 1L2,-75.7853326,45.508314
2804550723,Byward Fruit Market,greengrocer,NA,NA,By Ward Market Square,36,NA,K1N 7A2,-75.6929097,45.4276179
3404836701,Market Organics,greengrocer,NA,NA,York Street,126,NA,K1N 5T5,-75.6899421,45.4291792
3632278323,Whole Foods Market,supermarket,NA,Whole Foods Market,Bank Street,951,NA,NA,-75.6854881,45.3993788
3666245425,Farm Boy,supermarket,NA,Farm Boy,Metcalfe Street,193,NA,NA,-75.6933872,45.418746
3671178015,Herb & Spice,greengrocer,NA,NA,Bank Street,380,NA,NA,-75.6948691,45.4138546
3984740046,Bulk Barn,supermarket,NA,Bulk Barn,Ogilvie Road,1980,NA,NA,-75.6095436,45.4325464
4260754002,Farm Boy,supermarket,NA,Farm Boy,McRae Avenue,317,NA,K1Z 5T9,-75.7499293,45.3962011
4699096104,Metro,supermarket,NA,Metro,NA,NA,NA,NA,-75.244342,45.597393
5952002193,Arya Food Market,greengrocer,NA,NA,Gladstone Avenue,508,NA,NA,-75.6982537,45.4100122
5987364760,La Boite à Grains,supermarket,NA,NA,NA,NA,NA,NA,-75.7689275,45.4357754
6077160009,Macartney Farms Cash&Carry,greengrocer,NA,NA,Michael Street,1481,NA,NA,-75.6265783,45.4147256
6516550381,Zero Waste grocery store,supermarket,NA,NA,City Centre Avenue,250,NA,NA,-75.7187176,45.4081038
6621453839,La Maison Bisson,supermarket,NA,NA,Boulevard Louise-Campagna,2,NA,NA,-75.7632945,45.4303961
6887191362,Rideau,NA,NA,NA,NA,NA,NA,NA,-75.6931213,45.4254565
7048032335,Mike Dean's Super Food,supermarket,NA,NA,NA,NA,NA,NA,-75.2283661,45.1029419
7302523711,Africa World Market,supermarket,NA,NA,Cyrville Road,1392,NA,NA,-75.6216449,45.4205082
7961528864,NU Grocery,convenience,NA,NA,Main Street,143,NA,NA,-75.6783544,45.4101389
10780425248,Wissam Fruits,greengrocer,NA,NA,NA,NA,NA,NA,-75.7027843,45.3673619
16386340,FreshCo,supermarket,NA,FreshCo,McArthur Avenue,320,NA,NA,-75.65385590654056,45.43026661773808
31814089,Loblaws,supermarket,NA,Loblaws,McArthur Avenue,100,NA,NA,-75.6646603066429,45.42943229747514
39336868,Provigo,supermarket,NA,Provigo,Boulevard du Plateau,1,Gatineau,J9A 3G1,-75.76608349043141,45.4351327520105
39336982,Walmart Supercentre,supermarket,NA,Walmart,Boulevard du Plateau,35,Gatineau,J9A 3G1,-75.77094499141785,45.43589391647812
39336983,Super C,supermarket,NA,Super C,Boulevard du Plateau,65,Gatineau,J9A 3G1,-75.77321579198956,45.434054551198095
39452939,Bulk Barn,supermarket,NA,Bulk Barn,Boulevard du Plateau,75,Gatineau,J9A 3G1,-75.7722046489867,45.43552945020043
39857232,Metro,supermarket,NA,Metro,NA,NA,NA,NA,-75.75445556702905,45.450209551691174
39871828,Provigo,supermarket,NA,Provigo,Boulevard Saint-Joseph,775,Gatineau,NA,-75.74165051608138,45.46079730027739
63155897,Provigo,supermarket,NA,Provigo,Chemin d'Aylmer,375,NA,NA,-75.82310193634771,45.397945167133074
64881582,Parkdale Market,greengrocer,marketplace,NA,NA,NA,NA,NA,-75.7297604743848,45.401533141820025
68577501,No Frills,supermarket,NA,No Frills,Place-d'Orléans Drive,1226,NA,K1C 7K3,-75.52261441375889,45.476261493199786
68577542,Metro,supermarket,NA,Metro,Jeanne-d'Arc Boulevard North,6473,NA,NA,-75.53622455669465,45.48099530718745
68577837,Metro,supermarket,NA,Metro,Tenth Line Road,1675,NA,K1E 3P6,-75.4911794424908,45.47001814322185
68586181,Metro,supermarket,NA,Metro,Beechwood Avenue,50,NA,K1L 8B3,-75.67564267617948,45.43943448787519
68586262,Farm Boy,supermarket,NA,Farm Boy,Montréal Road,585,NA,NA,-75.64471211308249,45.443107406216086
68586373,Food Basics,supermarket,NA,Food Basics,Heron Road,1670,NA,NA,-75.64319950799955,45.3793603300122
68587871,Farm Boy,supermarket,NA,Farm Boy,Richmond Road,1493,NA,NA,-75.79153514483647,45.36294348982044
68607808,Metro,supermarket,NA,Metro,Greenbank Road,250,NA,K2H 8X4,-75.78019377911893,45.32423100327042
68608768,Loblaws,supermarket,NA,Loblaws,Merivale Road,1460,NA,NA,-75.73544261793562,45.36191342085642
68608910,Your Independent Grocer,supermarket,NA,Your Independent Grocer,Grant Carman Drive,200,NA,NA,-75.73077770732039,45.351259194313066
68609392,Metro,supermarket,NA,Metro,Carling Avenue,4048,NA,NA,-75.9072530320893,45.33688549342855
68609556,IGA,supermarket,NA,IGA,Chemin d'Aylmer,201,Gatineau,J8T 1R2,-75.83391133456391,45.396544887105335
68609654,Produce Depot,greengrocer,NA,NA,Carling Avenue,1855,NA,NA,-75.75693726336182,45.37684541749703
68657914,Real Canadian Wholesale Club,supermarket,NA,NA,Cyrville Road,1435,NA,NA,-75.6178896221023,45.42076306926029
68658115,Loblaws,supermarket,NA,Loblaws,Robertson Road,2065,NA,NA,-75.83245760523621,45.32443468689076
68658594,Metro,supermarket,NA,Metro,Walkley Road,2261,NA,NA,-75.61926411345594,45.389491905786805
68661910,Marché Adonis,supermarket,NA,Marché Adonis,St-Laurent Boulevard,1021,NA,NA,-75.63700399205328,45.42732660701898
68710011,Loblaws,supermarket,NA,Loblaws,Isabella Street,20,NA,NA,-75.68580199016854,45.41048421136987
69590206,B&H Your Community Grocer,supermarket,NA,NA,Rideau Street,301,NA,NA,-75.64913780960441,45.0182120772343
84160579,Real Canadian Superstore,supermarket,NA,Real Canadian Superstore,Richmond Road,190,NA,NA,-75.74750868976435,45.394380264347
88313290,IGA,supermarket,NA,IGA,Rue de Neuville,1205,Gatineau,J8M 1W2,-75.4952361904148,45.531584086991046
95561044,Maxi,supermarket,NA,Maxi,Avenue Lépine,130,Gatineau,J8L 4M4,-75.40805176088668,45.57378273243355
95561888,Metro,supermarket,NA,Metro,Avenue Lépine,180,Gatineau,J8L 4M4,-75.40020656776323,45.574395268275424
112013387,Food Basics,supermarket,NA,Food Basics,Kirkwood Avenue,667,NA,NA,-75.73887612375759,45.38638241108925
116884963,Maxi,supermarket,NA,Maxi,Boulevard Saint-Joseph,300,Gatineau,J8Y 3Y3,-75.73193129892334,45.4390957416646
117885572,IGA,supermarket,NA,IGA,Montée Paiement,720,NA,J8R 4A3,-75.67522294684801,45.50403901527338
133979838,Loblaws,supermarket,NA,Loblaws,Carling Avenue,2085,NA,NA,-75.76777426637078,45.37243179920744
138665005,Real Canadian Superstore,supermarket,NA,Real Canadian Superstore,Eagleson Road,760,NA,NA,-75.86656146030381,45.282755434415535
140253332,Super C,supermarket,NA,Super C,Boulevard de la Carrière,725,Gatineau,NA,-75.73008475788123,45.45088365322477
140703352,IGA,supermarket,NA,IGA,Boulevard Saint-Joseph,425,NA,NA,-75.73355370006068,45.446545849701366
140703368,Walmart Supercentre,supermarket,NA,Walmart,Boulevard Saint-Joseph,425,NA,J8Y 6X2,-75.7339372697924,45.44489315655399
143444559,Food Basics,supermarket,NA,Food Basics,Merivale Road,1465,NA,K2E 5N9,-75.73294582703026,45.36043078939522
144453739,Loblaws,supermarket,NA,Loblaws,Earl Grey Drive,200,NA,K2T 1B6,-75.91645699333743,45.3100448473544
151678438,Maxi,supermarket,NA,Maxi,Boulevard Maloney Ouest,800,NA,J8T 3R6,-75.68268359516087,45.4800964534114
151678497,Super C,supermarket,NA,Super C,Boulevard Maloney Ouest,760,NA,J8T 8K7,-75.67933570935344,45.48035695170819
152128866,Metro,supermarket,NA,Metro,Carleton Avenue,345,NA,K1Y 0K3,-75.74051209496962,45.398393326455036
152493242,Loblaws,supermarket,NA,Loblaws,Rideau Street,363,NA,NA,-75.68389158235092,45.43015346896805
153008604,Herb & Spice Shop,greengrocer,NA,NA,Wellington Street West,1310,NA,K1Y 3B2,-75.73650293212279,45.39846993547597
157291437,Loblaws,supermarket,NA,Loblaws,Baseline Road,1980,NA,K2C 0C6,-75.75948838993473,45.35194340135258
162163940,Walmart Supercentre,supermarket,NA,Walmart,Boulevard Maloney Ouest,640,NA,J8T 8K7,-75.67543316477237,45.480836714413854
162779819,La Boite à Grains,supermarket,NA,NA,Boulevard Saint-Joseph,581,Gatineau,J8Y 4A6,-75.73670325381855,45.449996264112706
162872427,Provigo,supermarket,NA,Provigo,Boulevard Maloney Est,395,NA,J8P 1E3,-75.64057628512384,45.48507870923148
163102551,IGA,supermarket,NA,IGA,Boulevard Gréber,455,NA,J8T 5T7,-75.701116730675,45.48728703840203
163103920,Metro,supermarket,NA,Metro,Boulevard Gréber,499,Gatineau,J8T 0B3,-75.7013897856183,45.488991564716265
163763103,Provigo,supermarket,NA,Provigo,Rue des Flandres,22,NA,NA,-75.71763182081617,45.470809393118834
165740052,Metro,supermarket,NA,Metro,NA,NA,NA,NA,-75.75549973900392,45.49331494594775
166369163,Maxi,supermarket,NA,Maxi,Chemin de la Savane,25,NA,J8T 8A4,-75.70374378799698,45.47534664765318
167391758,Metro Plus,supermarket,NA,Metro,Boulevard Wilfrid-Lavigne,799,Gatineau,NA,-75.84219327633201,45.41094793325047
167907929,Walmart Supercentre,supermarket,NA,Walmart,NA,NA,NA,NA,-76.12537019424951,45.13351851169458
167907930,Your Independent Grocer,supermarket,NA,Your Independent Grocer,NA,NA,NA,NA,-76.12135285032231,45.13423268396321
167907933,Bulk Barn,supermarket,NA,Bulk Barn,NA,NA,NA,NA,-76.12333298142825,45.13462452426752
171268363,Walmart Supercentre,supermarket,NA,Walmart,Baseline Road,1375,NA,NA,-75.73858857737301,45.363795667412454
172338766,Sobeys,supermarket,NA,Sobeys,Innes Road,5150,NA,K4A 0G4,-75.45608220239141,45.46944977758657
176731001,Your Independent Grocer,supermarket,NA,Your Independent Grocer,Ottawa Street,401,NA,K0A 1A0,-76.18218322136227,45.23388599024364
192000674,IGA Extra,supermarket,NA,IGA,Boulevard Saint-Joseph,1130,Gatineau,J8Z 1T3,-75.73797999781861,45.472430567129535
195440529,FreshCo,supermarket,NA,FreshCo,Lansdowne Avenue,110,NA,NA,-76.13957213341122,45.134018758042096
209257254,Walmart Supercentre,supermarket,NA,Walmart,Industrial Avenue,450,NA,NA,-75.64987960427683,45.41313471845754
219306015,FreshCo,supermarket,NA,FreshCo,Bank Street,4750,NA,K1T 0K8,-75.59580411676899,45.3190879488254
223318552,Farm Boy,supermarket,NA,Farm Boy,Woodroffe Avenue,3033,NA,K2G 6H2,-75.72407130070368,45.288602279932576
228619179,Your Independent Grocer,supermarket,NA,Your Independent Grocer,Notre Dame Street,753,NA,NA,-75.30401316325697,45.268960138794064
229189725,Food Basics,supermarket,NA,Food Basics,County Road 43,2615,NA,NA,-75.65934527963849,45.019960726399056
229623195,Metro,supermarket,NA,Metro,Innes Road,4510,NA,NA,-75.48407095905672,45.4612353533077
231347341,Metro,supermarket,NA,Metro,Robertson Road,1811,NA,NA,-75.81725900134435,45.33019693985358
231655414,Walmart Supercentre,supermarket,NA,Walmart,Richelieu Street,3001,Rockland,NA,-75.3058860797336,45.53212181188745
233061563,Food Basics,supermarket,NA,Food Basics,County Road 17,3090,Rockland,K4K 1V5,-75.30179565018557,45.54813290047663
233577107,Food Basics,supermarket,NA,Food Basics,Katimavik Road,150,NA,NA,-75.89564454771742,45.31267930142309
233809970,Farm Boy,supermarket,NA,Farm Boy,Hazeldean Road,6315,NA,NA,-75.94168299841904,45.26645782010348
233810087,Bulk Barn,supermarket,NA,Bulk Barn,Hazeldean Road,457,NA,K2L 1V1,-75.88771050929019,45.30014071676037
233810089,Farm Boy,supermarket,NA,Farm Boy,Hazeldean Road,457,NA,NA,-75.88798621164283,45.29947279735584
234000786,IGA,supermarket,NA,IGA,NA,NA,NA,NA,-75.43376403234103,45.55587072038768
239213041,Sobeys,supermarket,NA,Sobeys,March Road,840,NA,NA,-75.93381583492892,45.3578851566229
242966107,Walmart Supercentre,supermarket,NA,Walmart,Colonnade Drive,340,Kemptville,K0G 1J0,-75.62911857055019,45.029025193381905
242966115,Bulk Barn,supermarket,NA,Bulk Barn,Ryan's Well Drive,371,NA,NA,-75.63159291569413,45.028559734902004
244243181,Food Basics,supermarket,NA,Food Basics,Cyrville Road,1021,NA,K1J 7S3,-75.6365958986364,45.42670420201027
255988547,Walmart Supercentre,supermarket,NA,Walmart,Fernbank Road,5357,NA,NA,-75.87232903911772,45.275193474938476
255988615,Bulk Barn,supermarket,NA,Bulk Barn,Fernbank Road,5375,NA,K2S 0T7,-75.87117723599731,45.273491791472274
264797709,No Frills,supermarket,NA,No Frills,Winners Circle,39,NA,K7S 3G9,-76.36949530340509,45.42176586647705
278280963,IGA,supermarket,NA,IGA,Boulevard des Grives,203,Gatineau,J9A 0C7,-75.7791998001448,45.43206271238333
299394467,Farm Boy,supermarket,NA,Farm Boy,St. Joseph Boulevard,3035,NA,NA,-75.51326860793816,45.477734045058824
307235093,Cedars & Co. Food Market,supermarket,NA,NA,Bank Street,1255,NA,NA,-75.67988044441444,45.39100544483068
307378771,Fruiterie Wakim,greengrocer,NA,NA,Boulevard La Vérendrye Est,425,NA,NA,-75.64102075647904,45.5019883601452
329505013,HiFresh Foods,greengrocer,NA,NA,Merivale Road,1486,NA,NA,-75.73621280089336,45.35994195089818
330077344,Metro Plus,supermarket,NA,Metro,Boulevard Maloney Est,910,Gatineau,NA,-75.59758618356474,45.488403597764346
352322802,Marché Richelieu Perkins,supermarket,NA,NA,Route du Carrefour,1732,Val-des-Monts,J8N 7E9,-75.6193982573747,45.599654514837184
364377771,Metro,supermarket,NA,Metro,Montée Paiement,435,NA,J8P 0B1,-75.67675454690388,45.49157299809961
380404362,Mike Deans,supermarket,NA,NA,NA,NA,NA,NA,-75.15844482783145,45.43462222032548
416980102,Maxi,supermarket,NA,Maxi,Chemin Vanier,545,Gatineau,J9J 1Z4,-75.80838998527,45.4172828941612
445938311,IGA Extra,supermarket,NA,IGA,Boulevard La Vérendrye Est,1248,Gatineau,J8P 0A9,-75.61191620796248,45.50589749515379
