osm_id,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
60890260,D'Arcy McGee's,NA,pub,NA,Sparks Street,44,NA,NA,-75.6958229,45.4234025
293294911,Chantal's Hot Fries,NA,restaurant,NA,NA,NA,NA,NA,-75.5930326,45.2696561
322132928,The Red Fox Restaraunt and Tavern,NA,restaurant,NA,NA,NA,NA,NA,-76.2522307,44.9003995
440603952,Patty's Pub,NA,pub,NA,Bank Street,1186,NA,NA,-75.6817177,45.3918983
443149505,Jersey Joe's,NA,restaurant,NA,NA,NA,NA,NA,-76.2546359,44.9024783
443151704,Peter's Restaurant,NA,restaurant,NA,NA,NA,NA,NA,-76.2485318,44.8989202
443152542,Fiddleheads Bar & Grill,NA,restaurant,NA,NA,NA,NA,NA,-76.2512987,44.899623
447045908,Cora,NA,restaurant,Cora,Rideau Street,179,NA,NA,-75.6893714,45.427413
472451128,La Vallée,NA,restaurant,NA,Route 105,1418,Chelsea,J9B 1P4,-75.8709782,45.5743262
501768047,The Mackenzie King Estate Tearoom,NA,restaurant,NA,Chemin Barnes,75,NA,NA,-75.8479167,45.4833831
519546528,O'Max,NA,restaurant,NA,Chemin de Masson,849,NA,NA,-75.4212231,45.5467595
560750193,The Cross Bar Restaurant,NA,restaurant,NA,Tenth Line Road,1585,NA,K1E 3E8,-75.492397,45.4720493
588151003,The King Eddy,NA,restaurant,NA,Clarence Street,45,NA,K1N 5P4,-75.6940676,45.4288022
588151181,Milestones,NA,restaurant,NA,Sussex Drive,700,NA,NA,-75.6941768,45.4256084
588178971,Blue Cactus,NA,restaurant,NA,By Ward Market Square,2,NA,K1N 9B8,-75.6938017,45.4286044
588178972,Zak's Diner,NA,restaurant,NA,By Ward Market Square,14,NA,NA,-75.6935015,45.4283133
588181375,Sen's House,NA,pub,NA,York Street,73,NA,K1N 5T2,-75.6920976,45.4287501
600101630,Zak's Diner,NA,restaurant,NA,Elgin Street,220,NA,NA,-75.6912879,45.4186917
600126921,Daly's,NA,restaurant,NA,Colonel By Drive,11,NA,NA,-75.6924638,45.4247136
600127269,Wilfred's,NA,restaurant,NA,Rideau Street,1,NA,NA,-75.6955164,45.4253644
747539341,Cadena Restaurant & Tap Bar,NA,restaurant,NA,Richmond Road,385,NA,K2A 0E7,-75.7559923,45.3912464
778695498,Gibsons on Queen,NA,restaurant,NA,Queen Street,404,NA,NA,-75.7065824,45.417786
796259735,Perth Restaurant,NA,restaurant,NA,NA,NA,NA,NA,-76.2502702,44.9007838
796259743,Skye Dragon,NA,restaurant,NA,Foster Street,70,Perth,NA,-76.2519272,44.9005965
