osm_id,name,shop,amenity,brand,addr.street,addr.housenumber,addr.city,addr.postcode,lon,lat
438892467,Tea Store,tea,cafe,NA,York Street,53,NA,NA,-75.6928924,45.4282671
600597282,Le Moulin de Provence,bakery,NA,NA,NA,NA,NA,NA,-75.6927075,45.4280197
793828058,Glebe Meat Market,butcher,NA,NA,Bank Street,869,NA,NA,-75.6870421,45.4009392
928639691,Wedel Touch of Europe,deli,NA,NA,By Ward Market Square,5,NA,NA,-75.6934712,45.428573
1144102576,Brown Loaf Bakery,bakery,NA,NA,NA,NA,NA,NA,-75.690337,45.417608799999996
1415545369,Art Is In Bakery,bakery,NA,NA,City Centre Avenue,250,NA,K1R 7R7,-75.7186197,45.4079395
1648657368,Beckwith Butcher,butcher,NA,NA,NA,NA,NA,NA,-76.1289659,45.1441521
1649542506,Ottawa Bagelshop and Deli,deli,restaurant,NA,Wellington Street West,1321,NA,K1Y 3B6,-75.73667,45.398855
1674967916,Wellington Butchery,butcher,NA,NA,Wellington Street West,1333,NA,NA,-75.7371734,45.3987361
1684683903,Piggy Market,butcher,NA,NA,Winston Avenue,400,NA,K2A 1Y5,-75.7565144,45.3912805
2074047367,M&M Food Market,butcher,NA,M&M Food Market,Carling Avenue,2249,NA,NA,-75.7741641,45.3692288
2088038887,Polka Delicatessan,deli,NA,NA,Walkley Road,1574,NA,NA,-75.6470358,45.3766665
2088038888,Prince Ali Bakery,bakery,NA,NA,Walkley Road,1582,NA,NA,-75.6465373,45.3766288
2092982851,Wild Oat Bakery,bakery,NA,NA,Bank Street,817,NA,K1S 3V7,-75.6879241,45.4024931
2097417424,Beaver Tails,bakery,NA,BeaverTails,George Street,69,NA,K1N 1K1,-75.6916932,45.427364
2097430639,Continental Delicatessen,deli,NA,NA,York Street,57,NA,K1N 9B7,-75.6927249,45.4283311
2104707513,La Brioche,bakery,NA,NA,Bank Street,866,NA,NA,-75.6873712,45.4009948
2104707529,Ichiban Bakery,bakery,NA,NA,Bank Street,825,NA,NA,-75.6877728,45.4022128
2118022305,Marble Slab Creamery,NA,ice_cream,Marble Slab Creamery,Bank Street,773,NA,NA,-75.6885562,45.4036695
2295959717,Pasticceria Gelateria Italiana,NA,ice_cream,NA,Preston Street,200,NA,NA,-75.7128281,45.4058009
2443437114,Marble Slab Creamery,NA,ice_cream,NA,Wellington Street West,1416,NA,NA,-75.7403576,45.3977042
2450983313,Il Negozio Italian food,deli,NA,NA,Wellington Street West,1355,NA,NA,-75.7386737,45.3984164
2501643171,Mandy's Cafe,bakery,NA,NA,Kilborn Avenue,1791,NA,K1H 6N2,-75.6452908,45.3880378
2517485885,Lusa Bakery,bakery,NA,NA,Wellington Street West,1111,NA,NA,-75.7261568,45.4025655
2685151033,Nicastro Foods,deli,NA,NA,Preston Street,304,NA,NA,-75.7113838,45.4034263
2803535884,M&M Food Market,butcher,NA,M&M Food Market,Franktown Road,355,NA,NA,-76.1290013,45.1308048
2930381737,Second Avenue Sweets,bakery,NA,NA,Second Avenue,151 B,NA,NA,-75.6893451,45.4036318
3017785411,Artisan Gourmet,deli,NA,NA,NA,NA,NA,NA,-75.6930408,45.4282167
3163255564,Merry Dairy,NA,ice_cream,NA,Fairmont Avenue,102,NA,NA,-75.7217798,45.401252
3214920502,Beirut Boulangerie et Traiteur,bakery,NA,NA,Rue Laramée,269,Gatineau,J8Y 2Z7,-75.736001,45.4318141
3218052481,Fidélice,bakery,NA,NA,Boulevard Saint-Joseph,262,Gatineau,J8Y 3X8,-75.7328364,45.4372551
3268050811,Mr Beef,butcher,NA,NA,McWatty Road,223,NA,K0A 2X0,-76.2969497,45.3219221
3423833875,The Cake Shop,pastry,NA,NA,Wellington Street West,1200,NA,NA,-75.7302551,45.4002206
3607367773,M&M Food Market,butcher,NA,M&M Food Market,Boulevard Saint-Joseph,460,Gatineau,NA,-75.7321862,45.4453605
