ONS_ID,food_convenience_num_region_plus_buffer,food_convenience_num_per_1000_res_plus_buffer,food_convenience_dist_closest_3_popwt,food_convenience_pct_within_15_mins,food_fastfood_num_region_plus_buffer,food_fastfood_num_per_1000_res_plus_buffer,food_fastfood_dist_closest_3_popwt,food_fastfood_pct_within_15_mins,food_grocery_num_region_plus_buffer,food_grocery_num_per_1000_res_plus_buffer,food_grocery_dist_closest_3_popwt,food_grocery_pct_within_15_mins,food_resto_num_region_plus_buffer,food_resto_num_per_1000_res_plus_buffer,food_resto_dist_closest_3_popwt,food_resto_pct_within_15_mins,food_specialty_num_region_plus_buffer,food_specialty_num_per_1000_res_plus_buffer,food_specialty_dist_closest_3_popwt,food_specialty_pct_within_15_mins
0,359,0.353,1.642,0.771,1549,1.522,1.265,0.812,129,0.127,2.606,0.543,1071,1.053,1.41,0.753,289,0.284,2.359,0.554
3001,2,6.349,1.55,0.616,14,44.444,1.579,0.616,1,3.175,2.937,0,8,25.397,2.189,0,0,0,3.96,0
3002,3,0.386,1.205,0.723,26,3.348,0.866,0.798,1,0.129,1.415,0.559,10,1.288,1.233,0.55,5,0.644,1.102,0.721
3003,7,0.488,0.815,0.999,39,2.72,0.536,1,0,0,2.349,0.178,5,0.349,0.931,0.993,10,0.697,0.667,1
3004,5,0.646,1.146,0.992,27,3.486,0.568,1,1,0.129,1.334,0.948,7,0.904,0.762,1,1,0.129,1.657,0.644
3005,2,0.299,1.307,0.95,1,0.15,1.107,0.991,0,0,2.318,0.424,2,0.299,1.028,0.98,1,0.15,1.631,0.74
3006,1,NA,NA,NA,3,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA
3007,6,1.149,0.854,0.924,15,2.874,0.777,0.939,2,0.383,1.655,0.593,16,3.065,0.793,0.953,5,0.958,0.98,0.901
3008,2,0.462,1.297,0.839,9,2.079,0.744,0.94,1,0.231,1.857,1,6,1.386,0.875,0.928,1,0.231,1.39,0.384
3009,7,1.154,0.687,1,37,6.101,0.504,1,4,0.66,0.922,0.966,13,2.143,0.593,1,8,1.319,0.688,1
3010,2,0.242,1.537,0.931,5,0.606,0.774,0.939,1,0.121,3.174,0.839,2,0.242,1.651,0.939,1,0.121,2.682,0.838
3011,6,0.657,1.069,1,7,0.767,0.85,0.977,2,0.219,1.527,0.872,3,0.329,1.255,0.951,1,0.11,1.774,0.302
3012,3,0.351,1.05,0.984,10,1.17,0.779,0.984,2,0.234,1.153,0.71,5,0.585,0.954,0.761,1,0.117,1.313,0.47
3013,2,0.22,1.091,0.989,5,0.55,0.746,0.984,0,0,1.458,0.717,2,0.22,0.933,0.872,0,0,1.274,0.581
3014,3,0.116,1.54,0.901,7,0.271,1.337,0.808,2,0.077,1.723,0.494,5,0.194,1.335,0.529,0,0,2.766,0.043
3015,10,1.167,0.669,1,18,2.1,0.426,1,2,0.233,1.15,0.899,9,1.05,0.63,1,5,0.583,0.693,1
3016,5,0.322,1.347,0.565,22,1.417,0.875,0.945,2,0.129,3.392,0.498,22,1.417,0.868,0.959,3,0.193,2.795,0.366
3017,2,0.154,1.975,0.736,8,0.615,0.985,0.919,0,0,2.62,0.468,2,0.154,1.323,0.857,1,0.077,2.745,0.33
3018,4,0.485,0.781,1,9,1.091,0.528,1,2,0.242,1.451,0.865,8,0.97,0.525,1,4,0.485,0.812,0.95
3019,1,100,NA,NA,30,3000,NA,NA,0,0,NA,NA,5,500,NA,NA,0,0,NA,NA
3020,10,0.622,0.673,1,23,1.43,0.612,0.995,2,0.124,1.334,0.956,16,0.995,0.793,1,2,0.124,1.417,0.786
3021,3,0.468,5.9,0.202,8,1.247,4.143,0.243,0,0,10.586,0.003,4,0.624,4.07,0.321,3,0.468,4.477,0.259
3022,3,0.282,0.997,0.913,22,2.069,0.594,1,2,0.188,1.59,0.49,12,1.128,0.714,1,1,0.094,1.628,0.637
3023,2,0.216,1.17,0.88,16,1.728,0.732,1,0,0,2.629,0.08,5,0.54,0.863,1,0,0,1.81,0.271
3024,24,0.753,0.332,1,212,6.648,0.228,1,4,0.125,0.681,1,143,4.484,0.212,1,15,0.47,0.46,1
3025,4,0.339,1.257,0.8,14,1.188,1.101,0.845,0,0,2.073,0.472,11,0.933,1.312,0.498,3,0.255,1.452,0.735
3026,2,0.139,2.773,0.25,19,1.317,2.383,0.38,2,0.139,3.356,0.018,6,0.416,2.66,0.074,5,0.347,2.836,0.074
3027,2,0.166,1.496,0.737,6,0.497,0.8,0.946,1,0.083,1.329,0.844,3,0.248,0.888,0.891,3,0.248,1.068,0.788
3028,6,0.903,1.012,1,44,6.622,0.573,1,1,0.15,1.42,0.635,17,2.558,0.713,1,9,1.354,1.071,0.949
3029,1,0.174,0.949,1,5,0.868,0.539,1,0,0,1.585,0.377,1,0.174,0.648,1,2,0.347,0.704,0.985
