ONS_ID,food_convenience_num_region_plus_buffer,food_convenience_num_per_1000_res_plus_buffer,food_convenience_dist_closest_3_popwt,food_convenience_pct_within_15_mins
0,359,0.353,1.642,0.771
3001,2,6.349,1.55,0.616
3002,3,0.386,1.205,0.723
3003,7,0.488,0.815,0.999
3004,5,0.646,1.146,0.992
3005,2,0.299,1.307,0.95
3006,1,NA,NA,NA
3007,6,1.149,0.854,0.924
3008,2,0.462,1.297,0.839
3009,7,1.154,0.687,1
3010,2,0.242,1.537,0.931
3011,6,0.657,1.069,1
3012,3,0.351,1.05,0.984
3013,2,0.22,1.091,0.989
3014,3,0.116,1.54,0.901
3015,10,1.167,0.669,1
3016,5,0.322,1.347,0.565
3017,2,0.154,1.975,0.736
3018,4,0.485,0.781,1
3019,1,100,NA,NA
3020,10,0.622,0.673,1
3021,3,0.468,5.9,0.202
3022,3,0.282,0.997,0.913
3023,2,0.216,1.17,0.88
3024,24,0.753,0.332,1
3025,4,0.339,1.257,0.8
3026,2,0.139,2.773,0.25
3027,2,0.166,1.496,0.737
3028,6,0.903,1.012,1
3029,1,0.174,0.949,1
3030,5,250,NA,NA
3031,2,0.873,3.231,0.491
3032,5,0.339,1.14,0.793
3033,0,0,9.273,0.011
3034,2,0.228,1.193,0.903
3035,4,0.482,1.315,0.9
3036,1,0.254,1.704,0.848
3037,1,0.217,3.329,0.109
3038,2,0.354,6.458,0.133
3039,2,0.656,5.496,0.034
3040,5,0.613,0.833,0.962
3041,5,0.862,0.694,1
3042,0,0,NA,NA
3043,5,0.278,1.404,0.704
3044,5,0.35,1.423,0.613
3045,6,1.323,1.104,0.911
3046,1,0.255,7.852,0.218
3047,6,0.442,0.63,1
3048,8,0.638,1.504,0.645
3049,5,0.471,3.929,0.174
3050,4,3.433,0.963,0.77
3051,2,12.5,2.763,0
3052,1,0.162,0.945,1
3053,1,0.18,0.946,1
3054,2,0.294,0.866,0.99
3055,6,0.547,0.457,1
3056,3,0.353,0.985,0.981
3057,6,120,NA,NA
3058,5,0.848,0.864,1
3059,2,0.364,0.936,0.881
3060,4,0.201,1.781,0.432
3061,6,0.524,1.059,0.819
3062,1,0.376,8.613,0.04
3063,4,0.35,0.928,0.936
3064,0,0,NA,NA
3065,5,0.356,0.831,1
3066,0,0,1.432,0.332
3067,6,0.871,0.462,1
3068,9,1.515,0.308,1
3069,5,0.62,0.686,1
3070,3,0.287,4.01,0.281
3071,0,0,11.811,0
3072,0,0,1.571,0.395
3073,1,0.173,7.712,0.23
3074,3,0.348,4.196,0.409
3075,0,0,12.066,0
3076,2,0.655,6.336,0.291
3077,2,0.356,0.69,1
3078,1,0.203,7.999,0.097
3079,9,0.373,0.908,1
3080,5,0.224,1.26,0.925
3081,5,0.301,1.214,0.955
3082,5,0.586,0.578,1
3083,2,0.309,0.827,1
3084,1,20,NA,NA
3085,4,0.354,1.112,0.881
3086,2,0.35,6.367,0.397
3087,15,0.709,0.648,0.955
3088,1,0.169,1.004,1
3089,5,0.799,0.738,1
3090,2,0.328,1.191,0.975
3091,4,0.133,2.034,0.415
3092,1,0.224,1.095,0.693
3093,0,0,1.066,0.945
3094,1,0.221,1.616,0.756
3095,6,0.585,0.928,0.985
3097,2,0.137,1.211,0.967
3098,0,0,2.022,0.059
3099,0,0,1.963,0.278
3100,3,0.157,1.879,0.749
3101,8,0.595,0.98,0.863
3102,0,0,0.975,0.892
3103,3,0.273,1.066,0.751
3104,15,1.084,0.359,1
3105,1,0.36,0.921,1
3106,5,0.225,1.837,0.608
3107,0,0,2.362,0.112
3108,5,0.389,1.485,0.809
3109,2,0.072,2.549,0.481
3110,1,0.213,1.845,0.256
3111,16,1.525,0.384,1
3112,17,2.321,0.347,1
3113,1,0.356,5.06,0
3114,0,0,0.977,1
3115,12,1.362,0.341,1
3116,3,0.244,1.097,0.92
3117,3,0.262,1.064,0.817
