ONS_ID,food_resto_num_region,food_resto_num_per_1000_res_plus_buffer,food_resto_dist_closest_3_popwt,food_resto_pct_within_15_mins
0,1071,1.053,1.41,0.753
3001,8,25.397,2.189,0
3002,3,1.288,1.233,0.55
3003,2,0.349,0.931,0.993
3004,7,0.904,0.762,1
3005,2,0.299,1.028,0.98
3006,0,NA,NA,NA
3007,15,3.065,0.793,0.953
3008,6,1.386,0.875,0.928
3009,11,2.143,0.593,1
3010,2,0.242,1.651,0.939
3011,2,0.329,1.255,0.951
3012,5,0.585,0.954,0.761
3013,1,0.22,0.933,0.872
3014,4,0.194,1.335,0.529
3015,9,1.05,0.63,1
3016,22,1.417,0.868,0.959
3017,2,0.154,1.323,0.857
3018,6,0.97,0.525,1
3019,5,500,NA,NA
3020,10,0.995,0.793,1
3021,4,0.624,4.07,0.321
3022,10,1.128,0.714,1
3023,3,0.54,0.863,1
3024,140,4.484,0.212,1
3025,3,0.933,1.312,0.498
3026,6,0.416,2.66,0.074
3027,3,0.248,0.888,0.891
3028,12,2.558,0.713,1
3029,0,0.174,0.648,1
3030,17,950,NA,NA
3031,1,0.437,5.598,0.113
3032,9,1.016,1.344,0.635
3033,0,0,9.487,0
3034,2,0.228,1.268,0.539
3035,5,1.204,1.197,0.649
3036,3,0.761,0.951,0.932
3037,1,0.217,3.238,0.114
3038,3,0.531,5.148,0.154
3039,4,1.311,5.62,0.103
3040,3,0.368,1.004,0.962
3041,3,0.517,0.803,0.986
3042,0,0,NA,NA
3043,4,0.278,1.149,0.87
3044,4,0.28,1.4,0.603
3045,19,4.41,0.749,1
3046,0,0,10.233,0.012
3047,44,3.244,0.39,1
3048,16,1.356,0.86,0.966
3049,4,0.566,3.339,0.239
3050,4,4.292,1.167,0.709
3051,0,0,2.548,0
3052,0,0,1.601,0.772
3053,1,0.18,1.123,0.911
3054,2,0.441,0.957,0.993
3055,25,2.462,0.399,1
3056,1,0.118,1.699,0.718
3057,6,200,NA,NA
3058,6,1.018,0.759,1
3059,19,4.554,0.442,1
3060,20,1.003,1.641,0.309
3061,10,0.962,0.92,0.961
3062,0,0,10.242,0.018
3063,9,2.014,0.623,1
3064,1,9.091,NA,NA
3065,14,1.21,0.554,1
3066,1,0.314,1.215,1
3067,7,2.033,0.323,1
3068,86,15.32,0.233,1
3069,4,0.62,0.554,1
3070,17,1.628,2.772,0.237
3071,1,0.428,9.449,0.006
3072,0,0,1.877,0.277
3073,2,0.346,6.117,0.23
3074,6,0.813,2.152,0.454
3075,1,0.257,7.953,0.299
3076,2,0.655,5.737,0.216
3077,6,1.425,0.527,1
3078,1,0.203,6.763,0.071
3079,21,0.913,0.732,1
3080,17,0.851,0.961,0.909
3081,10,0.601,0.91,0.906
3082,5,0.586,0.6,1
3083,10,1.543,0.55,1
3084,3,60,NA,NA
3085,11,1.857,0.719,0.989
3086,2,0.525,4.921,0.321
3087,28,1.324,0.641,1
3088,2,0.339,0.777,1
3089,3,0.799,0.763,1
3090,0,0,1.377,0.635
3091,19,0.634,1.327,0.567
3092,0,0,1.118,0.861
3093,0,0,1.167,0.89
3094,0,0,1.884,0
3095,8,0.974,0.903,0.839
3097,0,0,1.453,0.545
3098,2,0.426,1.206,0.9
3099,0,0,1.606,0.34
3100,4,0.209,1.673,0.582
3101,14,1.264,1.191,0.793
3102,1,0.606,0.986,0.892
3103,4,0.82,1.143,0.689
3104,28,2.746,0.338,1
3105,6,2.158,0.685,1
3106,13,0.586,1.261,0.721
3107,5,0.761,1.643,0.263
3108,11,1.089,1.137,0.841
3109,11,0.467,2.573,0.14
3110,4,1.278,1.119,0.673
3111,14,2.001,0.528,1
3112,5,2.048,0.384,1
3113,0,0,7.725,0
3114,2,1.463,0.743,1
3115,83,9.648,0.187,1
3116,19,1.792,0.544,1
3117,9,0.787,0.749,0.957
